name,description,positioning,tagline,outreach_focus,color_scheme,branding_notes
FormuSphere,"AI engine mapping indications to evidence-backed formulations","Precision scientific AI platform","Where mechanisms become formulations","Internal R&D demos for scientists","Deep blue + silver","Emphasizes systematic exploration"
Orchestris,"Multi-agent orchestration engine for formulation design","Collaborative intelligence system","Science that works in parallel","Research leadership + platform teams","Royal purple + charcoal","Highlights orchestration theme"
PathwayForge,"Mechanism-to-formulation generation engine","Mechanistic reasoning AI","Forge formulations from biology","Pathway-centric research teams","Steel grey + ember orange","Strong mechanistic connotation"
Evidentia,"Evidence-grounded discovery automation","Evidence-first scientific tool","Every formulation starts with proof","Scientific rigor audiences","Navy + white","Clean, credible"
Synthome,"Biological synthesis and exploration engine","Exploration-centric AI system","Synthesize what biology suggests","Exploratory discovery groups","Teal + graphite","Modern, abstract scientific feel"
Inducta,"Turns indications into validated formulations","Indication-to-formulation transformer","From disease to design","Research portfolios","Forest green + slate","Suggests transformation"
FormuLogic,"Rational formulation design engine","Logic-driven AI discovery","Where logic meets formulation","Scientist onboarding","Black + cyan","Clear, technology-forward"
Hyperspec,"Engine enforcing systematic hypothesis coverage","Systematic exploration platform","Explore the space. All of it.","Methodology-driven teams","Ultramarine + grey","Evokes spectral completeness"
Concordia,"Agentic orchestration into scientific convergence","Orchestration-first positioning","Converge on the right formulation","Scientific leadership","Gold + navy","Elegant, sophisticated"
Veritas Engine,"Evidence-verification-centric engine","Rigor-forward discovery platform","Proof drives discovery","Data-driven scientists","Dark red + white","Latin root signals trust"
AxiomPath,"Mechanistic pathway reasoning engine","Foundational science logic","Mechanisms. Mapped.","Mechanism researchers","Grey + sapphire","Serious and structured"
